# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Full Version
# File: C:\Users\86187\Desktop\SPI\spi_read\doc\spi_read.csv
# Generated on: Fri Oct 29 12:36:00 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
altera_reserved_tck,Input,,,,PIN_H3,,,,,
altera_reserved_tdi,Input,,,,PIN_H4,,,,,
altera_reserved_tdo,Output,,,,PIN_J4,,,,,
altera_reserved_tms,Input,,,,PIN_J5,,,,,
spi_cs,Output,PIN_D2,1,B1_N0,PIN_D2,,,,,
spi_miso,Input,PIN_H2,1,B1_N0,PIN_H2,,,,,
spi_mosi,Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
spi_sclk,Output,PIN_H1,1,B1_N0,PIN_H1,,,,,
sys_clk,Input,PIN_E1,1,B1_N0,PIN_E1,,,,,
sys_rst_n,Input,PIN_M1,2,B2_N0,PIN_M1,,,,,
